machine,core,bug_version
faster4,core0,bug1
faster4,core1,bug10
faster4,core2,bug100
faster4,core3,bug101
faster4,core4,bug102
faster4,core5,bug103
faster4,core6,bug104
faster4,core7,bug105
faster5,core0,bug106
faster5,core1,bug107
faster5,core2,bug108
faster5,core3,bug109
faster5,core4,bug11
faster5,core5,bug110
faster5,core6,bug111
faster5,core7,bug112
faster7,core0,bug113
faster7,core1,bug114
faster7,core2,bug115
faster7,core3,bug116
faster7,core4,bug117
faster7,core5,bug118
faster7,core6,bug119
faster7,core7,bug12
faster8,core0,bug120
faster8,core1,bug121
faster8,core2,bug122
faster8,core3,bug123
faster8,core4,bug124
faster8,core5,bug125
faster8,core6,bug126
faster8,core7,bug127
faster9,core0,bug128
faster9,core1,bug129
faster9,core2,bug13
faster9,core3,bug130
faster9,core4,bug131
faster9,core5,bug132
faster9,core6,bug133
faster9,core7,bug134
faster14,core0,bug135
faster14,core1,bug136
faster14,core2,bug137
faster14,core3,bug138
faster14,core4,bug139
faster14,core5,bug14
faster14,core6,bug140
faster14,core7,bug141
faster15,core0,bug142
faster15,core1,bug143
faster15,core2,bug144
faster15,core3,bug145
faster15,core4,bug146
faster15,core5,bug147
faster15,core6,bug148
faster15,core7,bug149
faster16,core0,bug15
faster16,core1,bug150
faster16,core2,bug151
faster16,core3,bug152
faster16,core4,bug153
faster16,core5,bug16
faster16,core6,bug17
faster16,core7,bug18
faster17,core0,bug19
faster17,core1,bug2
faster17,core2,bug20
faster17,core3,bug21
faster17,core4,bug22
faster17,core5,bug23
faster17,core6,bug24
faster17,core7,bug25
faster18,core0,bug26
faster18,core1,bug27
faster18,core2,bug28
faster18,core3,bug29
faster18,core4,bug3
faster18,core5,bug30
faster18,core6,bug31
faster18,core7,bug32
faster19,core0,bug33
faster19,core1,bug34
faster19,core2,bug35
faster19,core3,bug36
faster19,core4,bug37
faster19,core5,bug38
faster19,core6,bug39
faster19,core7,bug4
faster20,core0,bug40
faster20,core1,bug41
faster20,core2,bug42
faster20,core3,bug43
faster20,core4,bug44
faster20,core5,bug45
faster20,core6,bug46
faster20,core7,bug47
faster21,core0,bug48
faster21,core1,bug49
faster21,core2,bug5
faster21,core3,bug50
faster21,core4,bug51
faster21,core5,bug52
faster21,core6,bug53
faster21,core7,bug54
faster23,core0,bug55
faster23,core1,bug56
faster23,core2,bug57
faster23,core3,bug58
faster23,core4,bug59
faster23,core5,bug6
faster23,core6,bug60
faster23,core7,bug61
faster24,core0,bug62
faster24,core1,bug63
faster24,core2,bug64
faster24,core3,bug65
faster24,core4,bug66
faster24,core5,bug67
faster24,core6,bug68
faster24,core7,bug69
faster25,core0,bug7
faster25,core1,bug70
faster25,core2,bug71
faster25,core3,bug72
faster25,core4,bug73
faster25,core5,bug74
faster25,core6,bug75
faster25,core7,bug76
faster26,core0,bug77
faster26,core1,bug78
faster26,core2,bug79
faster26,core3,bug8
faster26,core4,bug80
faster26,core5,bug81
faster26,core6,bug82
faster26,core7,bug83
faster27,core0,bug84
faster27,core1,bug85
faster27,core2,bug86
faster27,core3,bug87
faster27,core4,bug88
faster27,core5,bug89
faster27,core6,bug9
faster27,core7,bug90
faster29,core0,bug91
faster29,core1,bug92
faster29,core2,bug93
faster29,core3,bug94
faster29,core4,bug95
faster29,core5,bug96
faster29,core6,bug97
faster29,core7,bug98
faster30,core0,bug99
